,FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,Location,Census Tracts 2010,2011 Supervisorial District Boundaries (Official),Board Approved Statistical Areas,Zip Codes
33003,FA0070749,SOUTHWEST PETROLEUM #9647,PR0034817,SOUTHWEST PETROLEUM #9647,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5038 W EL SEGUNDO BLVD,HAWTHORNE,CA,90250,33.91620373,-118.3669149,OW0033741,"SOUTHWEST PETROLEUM, LLC",5038  W EL SEGUNDO BLVD,HAWTHORNE,CA,90250,"(33.9162037262, -118.3669148903)",745.0,2.0,284.0,24687.0
12172,FA0251063,GARAGE KITCHEN,PR0200167,GARAGE KITCHEN,1632,RESTAURANT (0-30) SEATS HIGH RISK,140 W VALLEY BLVD STE 108,SAN GABRIEL,CA,91776,34.07779958,-118.1008611,OW0245022,GARAGE KITCHEN INC,123 N LINCOLN AVE,MONTEREY PARK,CA,91755,"(34.0777995834, -118.1008611304)",1768.0,5.0,38.0,10137.0
5192,FA0071194,SUBWAY #52104,PR0010069,SUBWAY #52104,1631,RESTAURANT (0-30) SEATS MODERATE RISK,3183 WILSHIRE BLVD STE 184,LOS ANGELES,CA,90010,34.06196518,-118.2911106,OW0005591,C G INVESTMENTS INC,7755   HASKELL AVE,VAN NUYS,CA,91406,"(34.0619651809, -118.291110556)",1583.0,2.0,61.0,22726.0
32511,FA0203645,SODEXO @ THE HOLLYWOOD BOWL,PR0176049,SODEXO @ THE HOLLYWOOD BOWL - HOLLYWOOD BOWL MAIN KITCHEN,1632,RESTAURANT (0-30) SEATS HIGH RISK,2301 N HIGHLAND AVE,LOS ANGELES,CA,90068,34.11112592,-118.336302,OW0208794,"SODEXO AMERICA, LLC",2301 N HIGHLAND AVE,LOS ANGELES,CA,90068,"(34.1111259171, -118.3363019582)",1385.0,3.0,360.0,24033.0
7813,FA0016563,COST BARGAIN CO,PR0011100,COST BARGAIN CO,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2061 S GAREY AVE,POMONA,CA,91766,34.03403931,-117.75061640000001,OW0008871,COST BARGAIN COMPANY INC,2061  S GAREY AVE,POMONA,CA,91766,"(34.0340393143, -117.7506163798)",2200.0,1.0,83.0,10125.0
21440,FA0245769,DIY HOME CENTER,PR0194147,DIY HOME CENTER,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6300 FOOTHILL BLVD,TUJUNGA,CA,91042,34.24182654,-118.2684551,OW0240755,LUMBER CITY CORP.,20525 NORDHOFF ST STE 210,CHATSWORTH,CA,91311,"(34.2418265377, -118.2684550741)",1568.0,5.0,423.0,3222.0
32912,FA0044154,PIZZA HUT #24931,PR0005058,PIZZA HUT # 024931,1631,RESTAURANT (0-30) SEATS MODERATE RISK,23301 S MAIN ST,CARSON,CA,90745,33.81366266,-118.2759416,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,P.O. BOX 782110,WICHITA,KS,67278,"(33.813662661, -118.2759416291)",73.0,2.0,297.0,3354.0
20609,FA0073851,WEST 4TH / JANE,PR0003173,WEST 4TH / JANE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1432 4TH ST # A,SANTA&#160;MONICA,CA,90401,34.01556462,-118.49422630000001,OW0021726,LIEBERMAN STEVEN A,1432   4TH ST #A,SANTA&#160;MONICA,CA,90401,"(34.0155646175, -118.4942263008)",372.0,3.0,93.0,25426.0
7751,FA0137804,MUNDO SALUDABLE,PR0121945,MUNDO SALUDABLE,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",15415 FAIRGROVE AVE,LA PUENTE,CA,91744,34.04221984,-117.94911299999998,OW0101064,"CORNEJO, JOSE G.",1570 N HIBISCUS AVE,AZUSA,CA,91702,"(34.0422198365, -117.9491130169)",1906.0,1.0,15.0,9324.0
31228,FA0260069,CHATEAU HANARE,PR0210408,CHATEAU HANARE,1635,RESTAURANT (31-60) SEATS HIGH RISK,8097 SELMA AVE,LOS ANGELES,CA,90046,34.09808127,-118.36681609999998,OW0251949,SELMA AVE INC.,8097 SELMA AVE,LOS ANGELES,CA,90046,"(34.098081266, -118.3668161215)",1436.0,3.0,359.0,23677.0
